job_name,param_group,realization,mu1,mu2,mu3,COV,dh,dv,log10_K_Lower,log10_K_Middle,log10_K_Upper
Job_P001_R01,1,1,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R02,1,2,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R03,1,3,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R04,1,4,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R05,1,5,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R06,1,6,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R07,1,7,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R08,1,8,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R09,1,9,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R10,1,10,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R11,1,11,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R12,1,12,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R13,1,13,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R14,1,14,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R15,1,15,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R16,1,16,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R17,1,17,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R18,1,18,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R19,1,19,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P001_R20,1,20,2.3513557768419963e-09,2.9596709876568334e-08,1.448186859269432e-07,0.4834858832640987,221.90588731143606,2.8571341021646015,-8.628681654061236,-7.5287565646798855,-6.839175397590618
Job_P002_R01,2,1,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R02,2,2,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R03,2,3,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R04,2,4,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R05,2,5,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R06,2,6,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R07,2,7,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R08,2,8,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R09,2,9,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R10,2,10,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R11,2,11,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R12,2,12,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R13,2,13,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R14,2,14,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R15,2,15,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R16,2,16,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R17,2,17,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R18,2,18,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R19,2,19,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
Job_P002_R20,2,20,2.737350411558042e-08,3.583426249998874e-07,6.549345363582737e-06,0.4074038011553367,125.6352134814384,1.6368437338042383,-7.562669604465964,-6.445701529257263,-5.183802107518442
